Metric,Smo,Liq,Adv,Bur,AdvD,LiqN,Sha,Vid,TID,All
L2,0.658,0.802,0.737,0.616,0.569,0.749,0.582,0.795,0.816,0.609
SSIM,0.685,0.738,0.764,0.703,0.692,0.261,0.457,0.746,0.765,0.527
LPIPS,0.625,0.69,0.675,0.714,0.615,0.558,0.838,0.833,0.86,0.666
Alex_random,0.628,0.712,0.702,0.662,0.654,0.645,0.616,0.81,0.831,0.643
Alex_frozen,0.663,0.701,0.699,0.707,0.62,0.467,0.87,0.841,0.859,0.658
Non-Siamese,0.777,0.827,0.774,0.749,0.637,0.791,0.174,0.802,0.696,0.575
Skip_scratch,0.791,0.829,0.798,0.736,0.614,0.776,0.829,0.833,0.848,0.715
LSiM_noiseless,0.772,0.796,0.758,0.72,0.588,0.666,0.866,0.824,0.855,0.695
LSiM_strongNoise,0.668,0.663,0.69,0.692,0.547,0.416,0.888,0.821,0.855,0.643
LSiM(ours),0.785,0.822,0.78,0.742,0.588,0.789,0.891,0.813,0.856,0.732
